id,year,month,state,tot_no_pw_reg_anc,no_early_anc_register,early_anc_register,no_anc_4_or_more,anc_4_or_more,no_pw_given_tt1,pw_tt1_given,no_pw_given_tt2,pw_tt2_given,no_pw_given_tt_booster,pw_tt_booster_given,no_pw_given_calcium,pw_calcium,no_pw_given_ifa,pw_ifa,no_pw_given_albendazole,pw_albendazole,tot_c_section_deliveries,c_section_deliveries,tot_chld_born,tot_still_birth,per_still_birth
3338,2017-2018,December,Madhya Pradesh,147361,94082,63.84,111769,75.85,110207,98.60,100543,89.96,30120,26.95,115301,103.16,134100,119.98,89216,79.82,10795,10.31,112313,1791,15.95
3339,2017-2018,December,Maharashtra,174055,125879,72.32,149331,85.80,118340,79.25,111406,74.60,52340,35.05,123303,82.57,146846,98.34,79498,53.24,31736,21.42,149662,1369,9.15
3340,2017-2018,December,Manipur,4395,2477,56.36,2199,50.03,2631,119.65,2180,99.14,611,27.79,672,30.56,1731,78.72,163,7.41,632,22.36,3381,17,5.03
3341,2017-2018,December,Meghalaya,8433,2794,33.13,5124,60.76,3592,70.10,3355,65.48,1922,37.51,1933,37.72,3536,69.01,1148,22.40,548,13.69,6349,139,21.89
3342,2017-2018,December,Mizoram,1592,1160,72.86,849,53.33,1132,133.33,1149,135.34,573,67.49,108,12.72,509,59.95,123,14.49,257,17.68,1617,18,11.13
3343,2017-2018,December,Nagaland,2162,577,26.69,590,27.29,944,160.00,777,131.69,247,41.86,59,10.00,262,44.41,58,9.83,241,17.64,1633,33,20.21
3344,2017-2018,December,Odisha,61275,51226,83.60,47172,76.98,54703,115.96,50517,107.09,5912,12.53,21181,44.90,49683,105.32,24483,51.90,8336,16.21,53344,1110,20.81
3345,2017-2018,December,Puducherry,6934,2628,37.90,5375,77.52,1634,30.40,1800,33.49,96,1.79,1806,33.60,1609,29.93,980,18.23,1134,32.24,3501,26,7.43
3346,2017-2018,December,Punjab,35416,27020,76.29,29600,83.58,31179,105.33,27043,91.36,1793,6.06,10707,36.17,30236,102.15,8921,30.14,11328,34.19,33897,503,14.84
3347,2017-2018,December,Rajasthan,154122,97081,62.99,55606,36.08,90242,162.29,74518,134.01,53609,96.41,52934,95.19,69371,124.75,42969,77.27,11124,9.79,114538,1982,17.30
